codigo,marca
000,03
001,BORA
002,FERRARI
003,BMW
004,CITROEN
005,HONDA
006,HYUNDAI
007,KIA
008,AUDI
009,S-10
010,MOTO
011,FORD KA
012,FUSCA
013,MITSUBICH
014,NISSAN
015,PEUGEOT
016,RENAULT
017,CAPTUR
018,SUZUKI
019,PAJERO
020,NACIONAL
021,BRASILIA
022,CORSA
023,CHEVETTE
024,VAN
025,FIORINO
026,GOL
027,PALIO
028,DAEWOO
029,MERCEDES
030,000
031,PUNTO
032,SAVEIRO
033,JEEP
034,UNO
035,MAZDA
036,MAREA
037,C-3
038,MONDEO
039,CELTA
040,FOX
041,BELINA
042,CORCEL
043,ESCORT
044,HONDA FIT
045,TOWNER
046,SILVERADO
047,MONZA
048,ECO SPORT
049,PARATI
050,PASSAT
051,PREMIO
052,VOYAGE
053,ELBA
054,KADET
055,IPANEMA
056,POINTER
057,COURIER
058,DAKOTA
059,BRAVA/BRAVO
060,FIESTA
061,ASTRA
062,MONTANA
063,BLAZER
064,CHRYSLER
065,POLO
066,ALFA ROMEO
067,CARAVAN
068,IDEA
069,DEL REY
070,SPORTAGE
071,MERIVA
072,KOMBI
073,OPALA
074,DOBLO
075,QUANTUM
076,SANTANA
077,ZAFIRA
078,TIPO
079,VERONA
080,APOLO
081,VERSALES
082,TEMPRA
083,FOCUS
084,OMEGA
085,LOGUS
086,VECTRA
087,GOLF
088,COROLLA
089,PRISMA
090,RANGER
091,STRADA
092,CHEROKEE
093,SIENA
094,IMPORTADO
095,TAURUS
096,PICKUP
097,TOYOTA
098,STILO
099,CLASSE A
100,LINEA
101,PICASSO
102,FUSION
103,CERATO
104,RAV
105,CLIO
106,CROSSFOX
107,SPACEFOX
108,FIAT
109,CLASSIC
110,HILUX
111,LOGAN
112,SANDERO
113,CORDOBA
114,NEW CIVIC
115,JETTA
116,AZERA
117,FIELDER
118,EFFA
119,SANTA FE
120,12DP
121,MEGANE
122,MALIBU
123,DODGE
124,COROLLA CROSS
125,SUBARU
126,DUSTER
127,TIGUAN
128,VOLKSWAGEN
129,I 30
130,A3
131,SANG YOUNG
132,VERSA
133,IX 35
134,TIIDA
135,SPACE CROSS
136,CAMINHAO BAU
137,C4\C4 PALLAS
138,AUDI TT
139,CHERVOLET
140,PORSCHE
141,000
142,FERRARI
143,HILUX
144,HONDA CITY
145,FISIO D NETA
146,NEW BEETLE
147,HOGGAR
148,0
149,FORD F250
150,HONDA CR-V
151,HONDA HR-V
152,HONDA WR-V
153,SONATA
154,AIRCROSS
155,VERA CRUZ
156,DA CASA
157,OUTLANDER
158,UP
159,SONIC
160,KIA SOUL
161,NISSAN
162,RAFAEL ALVES
163,JAC
164,MINI COOPER
165,NEW FIESTA
166,PICANTO
167,CHERY
168,VERA CRUZ
169,AMAROK
171,BO
173,MARCH
174,HONDA-WRV
175,KICKS
177,FRONTIER
178,TIGGO
179,FLUENCE
182,ECLIPSE CROSS
184,0
185,ONIBUS
187,POLICIAL ARMADO
188,YARIS
189,FAMILIA
192,DECIDE SEGUROS
195,TUCSON
196,SENTRA
197,GURGEL
198,LIVINA
199,TRACKER
200,AGILE
201,SCENIC
202,SEAT
203,CAPTIVA
204,ACCORD
205,EFFA
206,OPEGADO ALEXANDRE
207,FIAT 500
209,CRUZE
210,FUNCIONARIO
211,CHERRY
212,FREEMONT
213,LAND ROVER
